Ticker,AssetType,first_date,last_date,n_days,avg_volume,median_price
TGT,Stock,1983-04-06,2017-11-10,8726,5782336.90018336,25.3995
TJX,Stock,1988-01-05,2017-11-10,7523,6212410.339093447,8.9187
TM,Stock,2005-02-25,2017-11-10,3201,575673.0281162137,98.241
TROW,Stock,1989-09-13,2017-11-10,7091,1641090.5336341842,17.966
TRV,Stock,2005-02-25,2017-11-10,3201,3498375.7107154015,49.465
TSLA,Stock,2010-06-28,2017-11-10,1858,4416507.875672766,184.85
TTWO,Stock,2005-02-25,2017-11-10,3201,1907369.9887535146,17.54
TWTR,Stock,2013-11-07,2017-11-10,1011,22115369.39960435,25.9
TXN,Stock,1981-12-31,2017-11-10,9041,12456612.043358035,14.869
UAL,Stock,2006-01-25,2017-11-10,2972,6158825.65679677,32.0
UNH,Stock,1990-03-26,2017-11-10,6964,8634803.362722574,22.306
UNP,Stock,1980-01-02,2017-11-10,9549,4285936.078856424,12.528
UPS,Stock,1999-11-10,2017-11-10,4527,3952894.628451513,59.823
USB,Stock,1987-11-05,2017-11-10,7557,7140171.996162498,19.743
V,Stock,2008-03-18,2017-11-10,2432,20174697.562911183,37.695
VLO,Stock,2005-02-25,2017-11-10,3201,11202742.002811622,41.669
VRTX,Stock,2005-02-25,2017-11-10,3199,2029466.6470772116,41.7
VZ,Stock,1983-11-21,2017-11-10,8564,9378935.085590845,24.027
WBA,Stock,1985-07-01,2017-11-10,8157,4252395.946794164,25.968
WDAY,Stock,2012-10-12,2017-11-10,1279,1532911.7326035965,81.27
WFC,Stock,1984-11-01,2017-11-10,8323,16279606.195121951,17.776
WM,Stock,2005-02-25,2017-11-10,3201,3222051.116838488,29.326
WMB,Stock,1981-12-31,2017-11-10,9040,4615919.45630531,11.038499999999999
WMT,Stock,1972-03-20,2017-11-10,11443,8656755.349383904,10.735
WYNN,Stock,2005-02-25,2017-11-10,3201,2836456.0752889724,82.608
XEL,Stock,2000-08-21,2017-11-10,4335,2809053.690426759,18.217
XOM,Stock,1970-01-02,2017-11-10,12074,11458664.984263707,12.218499999999999
YUM,Stock,1997-09-17,2017-11-10,5072,4660765.037263407,19.499499999999998
ZBH,Stock,2001-08-08,2017-11-10,4092,1679759.2160312806,66.494
